SI.,Product Name,Item Code,UOM,Purchase UOM,Product Category,Origin Rule,Purchase Cost
480,SEALANT (STAR ADHESIV) GRAY,PI-SEAL-STAR-G-X424,BOX,BOX(24 NOS),Accessory ,,41.7
481,"ALUMINIUM TAPE 2""",PI-ALU-TAPE-2-BX-X425,BOX,BOX(24 NOS),Accessory ,,43.27
482,CNC BLADE KINGSPAN,PI-CNC-BLADE-KING-2-X426,NOS,NOS,Accessory ,,123
483,PAL PHENOLIC SHEET UL 181 20M (INNOVA),PI-PH-UL181-20M-INN-X427,SQM,SQM,Raw-Material,,26.41
484,RIVIT 4.8 X 30,PI-RIVIT-4.8X30-X428,BOX,BOX (400 PCS),Accessory ,,17.93
485,ALUMINIUM JOINT. FLANGE 20MM,PI-ALU-JFL-20-X429,MTR,Length (5 MTR),Accessory ,,2.79
486,BG PLATE WITH HOLE,PI-BG-PLATE-X430,NOS,NOS,Accessory ,,0.3
487,PVC BUSH WITH OUT HOLE,PI-PVC-BUSH-NH-X431,NOS,NOS,Accessory ,,0.16
488,UL TAPE 60 YARD - SHUR,PI-ULT-60-SHUR-X432,NOS,NOS,Accessory ,,46.83
489,SIDE LINK,PI-SIDE-LINK-X433,NOS,NOS,Accessory ,,0.76
490,PI ALPHA UL181 20MM,PI-PH-ALPHA-UL181-20-X434,SQM,SQM,Raw-Material ,,25.92
491,SPINDEL 12X75,PI-SPINDEL-12X75-X435,NOS,NOS,Accessory ,,0.75
492,UL TAPE 30 YARD - IDEAL,PI-ULT-30-IDEAL-X436,NOS,NOS,Accessory ,,32.27
493,UL TAPE 60 YARD - MEIYUAN,PI-ULT-60-MEI-X437,NOS,NOS,Accessory ,,49.05
494,ALUMINIUM JOINT. FLANGE 20MM (KS),PI-ALU-JFL-20KS-X438,MTR,Length (5 MTR),Accessory ,,2.46
495,"ALUMINIUM TAP 3"" (GERGAWI)",PI-ALU-T3-GER-BX-X439,BOX,BOX(18 NOS),Accessory ,,43.59
496,CNC BLADE KINGSPAN,PI-CNC-BLADE-KING-2-X440,NOS,NOS,Accessory ,,127.04
497,ALUMINIUM JOINT. FLANGE 20MM (KS),PI-ALU-JFL-20KS-X441,MTR,Length (5 MTR),Accessory ,,2.54
498,"ALUMINIUM TAPE 2""-ASMACO",PI-ALU-T2-ASM-BX-X442,BOX,BOX(24 NOS),Accessory ,,60.5
499,SEALANT (STAR ADHESIV) WHITE,PI-SEAL-STAR-W-X443,BOX,BOX(24 NOS),Accessory ,,41.79
500,BG PLATE WITH HOLE,PI-BG-PLATE-X444,NOS,NOS,Accessory ,,0.3
501,GLUE KINGSPAN (15 litre DRUM),PI-GLUE-KING-X445,DRUM,DRUM(15 LITRE),Accessory ,,151.16
502,PVC H BAYONET,PI-PVC-HBAY-X446,MTR,Length (5 MTR),Accessory ,,0.55
503,REINFORCEMENT BAR ALU,PI-REINF-BAR-ALU-X447,MTR,MTR(LENGTH 5 MTR),Accessory ,,6.08
504,RIVIT 4.8 X 30,PI-RIVIT-4.8X30-X448,BOX,BOX (400 PCS),Accessory ,,18.27
505,SPINDEL 12X125,PI-SPINDEL-12X125-X449,NOS,NOS,Accessory ,,1.19
506,HANDLE SQUARE,PI-HANDLE-SQ-X450,NOS,NOS,Accessory ,,1.67
507,SPECIALITE PHENOLIC SHEET UL 181 20M (KHAN),PI-PH-UL181-20M-SP-X451,SQM,SQM,Raw-Material,,24.08
508,CNC BLADE KINGSPAN,PI-CNC-BLADE-KING-2-X452,NOS,NOS,Accessory ,,122.5
509,PROFILE GLUE,PI-PROFILE-GLUE-X453,NOS,NOS,Accessory ,,18.77
510,"ALUMINIUM TAPE 2""-ASMACO",PI-ALU-T2-ASM-BX-X454,BOX,BOX(24 NOS),Accessory ,,60.67
511,VCD BLADE 100 MM,PI-VCD-100-MTR-X455,MTR,MTR(LENGTH 6 MTR),Accessory ,,11.26
512,SIDE LINK,PI-SIDE-LINK-X456,NOS,NOS,Accessory ,,0.76
513,"ALUMINIUM TAPE 2""",PI-ALU-TAPE-2-BX-X457,BOX,BOX(24 NOS),Accessory ,,43.68
514,UL TAPE 60 YARD - SHUR,PI-ULT-60-SHUR-X458,NOS,NOS,Accessory ,,47.91
515,PVC CORNER 30MM,PI-PVC-CR-30-X459,NOS,BOX (200 NOS),Accessory ,,0.94
516,ALUMINIUM F. FLANGE 20MM,PI-ALU-FFL-20-X460,MTR,Length (5 MTR),Accessory ,,2.26
517,VCD BLADE 150 MM,PI-VCD-150-MTR-X461,MTR,MTR(LENGTH 6 MTR),Accessory ,,15.87
518,PVC BUSH WITH HOLE,PI-PVC-BUSH-X462,NOS,NOS,Accessory ,,0.16
519,GI CORNER 20MM,PI-GI-CR-20-X463,NOS,BOX (200 NOS),Accessory ,,0.07
520,ALUMINIUM U. FLANGE 20MM,PI-ALU-UFL-20-X464,MTR,Length (5 MTR),Accessory ,,1.75
521,PVC FLANGE 20MM,PI-PVC-FL-20-X465,MTR,Length (5 MTR),Accessory ,,0.94
522,PVC BUSH WITH OUT HOLE,PI-PVC-BUSH-NH-X466,NOS,NOS,Accessory ,,0.16
523,SEALANT (DR FIX PIDILITE) GRAY,PI-SEAL-DRFIX-G-X467,BOX,BOX(24 NOS),Accessory ,,38.37
524,SEALANT GUN,PI-SEAL-GUN-X468,NOS,NOS,Tool,,14.97
525,PVC CORNER 20MM PAL,PI-PVC-CR-20PAL-X469,NOS,BOX (200 NOS),Accessory ,,0.15
526,CUTTING KNIFE,PI-CUT-KNIFE-X470,NOS,NOS,Tool,,5.08
527,UL TAPE 60 YARD - MEIYUAN,PI-ULT-60-MEI-X471,NOS,NOS,Accessory ,,50.4
528,SEALANT (DR FIX PIDILITE) WHITE,PI-SEAL-DRFIX-W-X472,BOX,BOX(24 NOS),Accessory ,,37.38
529,"ALUMINIUM TAP 3"" (AL ANSAF)",PI-ALU-T3-ANS-BX-X473,BOX,BOX(18 NOS),Accessory ,,46.84
530,GLUE STAR (15 LITRE),PI-GLUE-STAR-X474,DRUM,DRUM(15 LITRE),Accessory ,,94.8
531,ALUMINIUM JOINT. FLANGE 20MM (KS),PI-ALU-JFL-20KS-X475,MTR,Length (5 MTR),Accessory ,,2.5
532,PI ALPHA UL181 20MM,PI-PH-ALPHA-UL181-20-X476,SQM,SQM,Raw-Material ,,26.41
533,UL TAPE 60 YARD - MEIYUAN,PI-ULT-60-MEI-X477,NOS,NOS,Accessory ,,49.69
534,UL TAPE 30 YARD - IDEAL,PI-ULT-30-IDEAL-X478,NOS,NOS,Accessory ,,32.31
535,CUTTING KNIFE,PI-CUT-KNIFE-X479,NOS,NOS,Tool,,4.99
536,"ALUMINIUM TAPE 2""",PI-ALU-TAPE-2-BX-X480,BOX,BOX(24 NOS),Accessory ,,44.09
537,UL TAPE 30 YARD - IDEAL,PI-ULT-30-IDEAL-X481,NOS,NOS,Accessory ,,31.66
538,UL TAPE 30 YARD - IDEAL,PI-ULT-30-IDEAL-X482,NOS,NOS,Accessory ,,32.03
539,Z LINK,PI-Z-LINK-X483,NOS,NOS,Accessory ,,1.66
540,STUCK UP PIN (ANSAF),PI-STUCK-PIN-ANS-X484,BOX,BOX(400 PCS),Accessory ,,87.57
541,CNC BLADE KINGSPAN,PI-CNC-BLADE-KING-2-X485,NOS,NOS,Accessory ,,125.32
542,ALUMINIUM CH. FLANGE 20MM,PI-ALU-CHFL-20-X486,MTR,Length (5 MTR),Accessory ,,2.23
543,SEALANT (DR FIX PIDILITE) WHITE,PI-SEAL-DRFIX-W-X487,BOX,BOX(24 NOS),Accessory ,,38.74
544,RIVIT 4.8 X 30,PI-RIVIT-4.8X30-X488,BOX,BOX (400 PCS),Accessory ,,18.13
545,REINFORCEMENT BAR ALU,PI-REINF-BAR-ALU-X489,MTR,MTR(LENGTH 5 MTR),Accessory ,,6.03
546,VCD BLADE 200 MM,PI-VCD-200-MTR-X490,MTR,MTR(LENGTH 6 MTR),Accessory ,,29.5
547,GLUE KINGSPAN (15 litre DRUM),PI-GLUE-KING-X491,DRUM,DRUM(15 LITRE),Accessory ,,149.64
548,PVC FLANGE 20MM,PI-PVC-FL-20-X492,MTR,Length (5 MTR),Accessory ,,0.97
549,STUCK UP PIN LOCK,PI-STUCK-PIN-LOCK-X493,NOS,NOS,Accessory ,,0.04
550,MEASURING TAPE,PI-MEAS-TAPE-X494,NOS,NOS,Tool ,,4.08
551,MEASURING TAPE,PI-MEAS-TAPE-X495,NOS,NOS,Tool ,,4.04
552,ALUMINIUM CH. FLANGE 20MM (KS),PI-ALU-CHFL-20KS-X496,MTR,Length (5 MTR),Accessory ,,2.21
553,HANDLE SQUARE,PI-HANDLE-SQ-X497,NOS,NOS,Accessory ,,1.64
554,ALUMINIUM U FLANGE 20MM (KS),PI-ALU-UFL-20KS-X498,MTR,Length (5 MTR),Accessory ,,1.78
555,ALUMINIUM CH. FLANGE 20MM,PI-ALU-CHFL-20-X499,MTR,Length (5 MTR),Accessory ,,2.29
556,PVC BUSH WITH HOLE,PI-PVC-BUSH-X500,NOS,NOS,Accessory ,,0.16
557,PI ALPHA UL181 20MM,PI-PH-ALPHA-UL181-20-X501,SQM,SQM,Raw-Material ,,26.4
558,STUCK UP PIN (ANSAF),PI-STUCK-PIN-ANS-X502,BOX,BOX(400 PCS),Accessory ,,86.44
559,PAL PHENOLIC SHEET UL 181 20M,PI-PH-UL181-20M-PAL-X503,SQM,SQM,Raw-Material,,29.35
560,SPINDEL 12X75,PI-SPINDEL-12X75-X504,NOS,NOS,Accessory ,,0.76
561,VCD BLADE 100 MM,PI-VCD-100-MTR-X505,MTR,MTR(LENGTH 6 MTR),Accessory ,,11.21
562,PROFILE GLUE,PI-PROFILE-GLUE-X506,NOS,NOS,Accessory ,,19.36
563,BG PLATE WITH HOLE,PI-BG-PLATE-X507,NOS,NOS,Accessory ,,0.3
564,STUCK UP PIN (ANSAF),PI-STUCK-PIN-ANS-X508,BOX,BOX(400 PCS),Accessory ,,86.8
565,SEALANT (DR FIX PIDILITE) GRAY,PI-SEAL-DRFIX-G-X509,BOX,BOX(24 NOS),Accessory ,,37.88
566,PVC CORNER 30MM,PI-PVC-CR-30-X510,NOS,BOX (200 NOS),Accessory ,,0.95
567,SIDE LINK,PI-SIDE-LINK-X511,NOS,NOS,Accessory ,,0.74
568,CNC BLADE KINGSPAN,PI-CNC-BLADE-KING-2-X512,NOS,NOS,Accessory ,,125.96
569,PAL PHENOLIC SHEET UL 181 20M,PI-PH-UL181-20M-PAL-X513,SQM,SQM,Raw-Material,,28.58
570,SEALANT PAL,PI-SEAL-PAL-X514,BOX,BOX(24 NOS),Accessory ,,70.52
571,SEALANT (STAR ADHESIV) WHITE,PI-SEAL-STAR-W-X515,BOX,BOX(24 NOS),Accessory ,,40.43
572,ALU RIVET 4X25 BOX,PI-ALU-RIVET-4X25-X516,BOX,BOX(400 PCS),Accessory ,,18.32
573,SEALANT PAL,PI-SEAL-PAL-X517,BOX,BOX(24 NOS),Accessory ,,71.16
574,"ALUMINIUM TAP 3"" (AL ANSAF)",PI-ALU-T3-ANS-BX-X518,BOX,BOX(18 NOS),Accessory ,,47.91
575,PROFILE GLUE,PI-PROFILE-GLUE-X519,NOS,NOS,Accessory ,,19.29
576,"ALUMINIUM TAPE 2""-ASMACO",PI-ALU-T2-ASM-BX-X520,BOX,BOX(24 NOS),Accessory ,,59.73
577,VCD BLADE 200 MM,PI-VCD-200-MTR-X521,MTR,MTR(LENGTH 6 MTR),Accessory ,,28.96
578,"ALUMINIUM TAPE 2""-ASMACO",PI-ALU-T2-ASM-BX-X522,BOX,BOX(24 NOS),Accessory ,,59.55
579,STUCK UP PIN LOCK,PI-STUCK-PIN-LOCK-X523,NOS,NOS,Accessory ,,0.04
580,UL TAPE 60 YARD - MEIYUAN,PI-ULT-60-MEI-X524,NOS,NOS,Accessory ,,49.48
581,PVC H BAYONET,PI-PVC-HBAY-X525,MTR,Length (5 MTR),Accessory ,,0.56
582,PVC CORNER 20MM PAL,PI-PVC-CR-20PAL-X526,NOS,BOX (200 NOS),Accessory ,,0.15
583,STUCK UP PIN LOCK,PI-STUCK-PIN-LOCK-X527,NOS,NOS,Accessory ,,0.04
584,ALUMINIUM U. FLANGE 20MM,PI-ALU-UFL-20-X528,MTR,Length (5 MTR),Accessory ,,1.78
585,ALUMINIUM U. FLANGE 20MM,PI-ALU-UFL-20-X529,MTR,Length (5 MTR),Accessory ,,1.74
586,SPINDEL 12X75,PI-SPINDEL-12X75-X530,NOS,NOS,Accessory ,,0.75
587,GLUE STAR (15 LITRE),PI-GLUE-STAR-X531,DRUM,DRUM(15 LITRE),Accessory ,,95.99
588,PI ALPHA UL181 20MM,PI-PH-ALPHA-UL181-20-X532,SQM,SQM,Raw-Material ,,26.24
589,RIVIT 4.8 X 30,PI-RIVIT-4.8X30-X533,BOX,BOX (400 PCS),Accessory ,,17.95
590,SPINDEL 12X125,PI-SPINDEL-12X125-X534,NOS,NOS,Accessory ,,1.19
591,"ALUMINIUM TAPE 2""",PI-ALU-TAPE-2-BX-X535,BOX,BOX(24 NOS),Accessory ,,43.71
592,BG PLATE WITH HOLE,PI-BG-PLATE-X536,NOS,NOS,Accessory ,,0.3
593,PVC BUSH WITH HOLE,PI-PVC-BUSH-X537,NOS,NOS,Accessory ,,0.16
594,STUCK UP PIN LOCK,PI-STUCK-PIN-LOCK-X538,NOS,NOS,Accessory ,,0.04
595,ALUMINIUM U. FLANGE 20MM,PI-ALU-UFL-20-X539,MTR,Length (5 MTR),Accessory ,,1.76
596,SEALANT (DR FIX PIDILITE) GRAY,PI-SEAL-DRFIX-G-X540,BOX,BOX(24 NOS),Accessory ,,37.78
597,HANDLE SQUARE,PI-HANDLE-SQ-X541,NOS,NOS,Accessory ,,1.64
598,ALUMINIUM CH. FLANGE 20MM (KS),PI-ALU-CHFL-20KS-X542,MTR,Length (5 MTR),Accessory ,,2.18
599,UL TAPE 30 YARD - IDEAL,PI-ULT-30-IDEAL-X543,NOS,NOS,Accessory ,,32.37
600,SPECIALITE PHENOLIC SHEET UL 181 20M (KHAN),PI-PH-UL181-20M-SP-X544,SQM,SQM,Raw-Material,,24.21
601,PROFILE GLUE,PI-PROFILE-GLUE-X545,NOS,NOS,Accessory ,,19.15
602,ALUMINIUM JOINT. FLANGE 20MM,PI-ALU-JFL-20-X546,MTR,Length (5 MTR),Accessory ,,2.8
603,PVC CORNER 20MM PAL,PI-PVC-CR-20PAL-X547,NOS,BOX (200 NOS),Accessory ,,0.15
604,"ALUMINIUM TAPE 2""-ASMACO",PI-ALU-T2-ASM-BX-X548,BOX,BOX(24 NOS),Accessory ,,59.83
605,SEALANT (DR FIX PIDILITE) GRAY,PI-SEAL-DRFIX-G-X549,BOX,BOX(24 NOS),Accessory ,,38.39
606,CUTTING KNIFE,PI-CUT-KNIFE-X550,NOS,NOS,Tool,,5.03
607,VCD BLADE 200 MM,PI-VCD-200-MTR-X551,MTR,MTR(LENGTH 6 MTR),Accessory ,,29.04
608,UL TAPE 30 YARD - IDEAL,PI-ULT-30-IDEAL-X552,NOS,NOS,Accessory ,,31.54
609,SPECIALITE PHENOLIC SHEET UL 181 20M (KHAN),PI-PH-UL181-20M-SP-X553,SQM,SQM,Raw-Material,,23.99
610,SEALANT GUN,PI-SEAL-GUN-X554,NOS,NOS,Tool,,14.83
611,"ALUMINIUM TAP 3"" (AL ANSAF)",PI-ALU-T3-ANS-BX-X555,BOX,BOX(18 NOS),Accessory ,,47.58
612,ALUMINIUM CH. FLANGE 20MM (KS),PI-ALU-CHFL-20KS-X556,MTR,Length (5 MTR),Accessory ,,2.22
613,SPINDEL 12X75,PI-SPINDEL-12X75-X557,NOS,NOS,Accessory ,,0.74
614,Z LINK,PI-Z-LINK-X558,NOS,NOS,Accessory ,,1.62
615,PAL PHENOLIC SHEET UL 181 20M,PI-PH-UL181-20M-PAL-X559,SQM,SQM,Raw-Material,,28.55
616,PVC BUSH WITH OUT HOLE,PI-PVC-BUSH-NH-X560,NOS,NOS,Accessory ,,0.16
617,STUCK UP PIN (ANSAF),PI-STUCK-PIN-ANS-X561,BOX,BOX(400 PCS),Accessory ,,89.55
618,ALUMINIUM CH. FLANGE 20MM (KS),PI-ALU-CHFL-20KS-X562,MTR,Length (5 MTR),Accessory ,,2.18
619,PVC CORNER 20MM PAL,PI-PVC-CR-20PAL-X563,NOS,BOX (200 NOS),Accessory ,,0.15
620,SEALANT (DR FIX PIDILITE) GRAY,PI-SEAL-DRFIX-G-X564,BOX,BOX(24 NOS),Accessory ,,38.32
621,"ALUMINIUM TAPE 2""-ASMACO",PI-ALU-T2-ASM-BX-X565,BOX,BOX(24 NOS),Accessory ,,60.05
622,"ALUMINIUM TAPE 2""-ASMACO",PI-ALU-T2-ASM-BX-X566,BOX,BOX(24 NOS),Accessory ,,60.25
623,SPINDEL 12X125,PI-SPINDEL-12X125-X567,NOS,NOS,Accessory ,,1.2
624,GI CORNER 20MM-PAL,PI-GI-CR-20PAL-X568,NOS,BOX (200 NOS),Accessory ,,0.12
625,HANDLE SQUARE,PI-HANDLE-SQ-X569,NOS,NOS,Accessory ,,1.66
626,VCD BLADE 150 MM,PI-VCD-150-MTR-X570,MTR,MTR(LENGTH 6 MTR),Accessory ,,15.85
627,GLUE KINGSPAN (15 litre DRUM),PI-GLUE-KING-X571,DRUM,DRUM(15 LITRE),Accessory ,,150.95
628,PAL PHENOLIC SHEET UL 181 20M,PI-PH-UL181-20M-PAL-X572,SQM,SQM,Raw-Material,,29.21
629,VCD BLADE 200 MM,PI-VCD-200-MTR-X573,MTR,MTR(LENGTH 6 MTR),Accessory ,,29.27
630,UL TAPE 60 YARD - MEIYUAN,PI-ULT-60-MEI-X574,NOS,NOS,Accessory ,,50.16
631,PVC U FLANGE,PI-PVC-UFL-X575,MTR,Length (5 MTR),Accessory ,,1.24
632,RIVIT 4.8 X 30,PI-RIVIT-4.8X30-X576,BOX,BOX (400 PCS),Accessory ,,17.93
633,ALUMINIUM CH. FLANGE 20MM (KS),PI-ALU-CHFL-20KS-X577,MTR,Length (5 MTR),Accessory ,,2.16
634,VCD BLADE 150 MM,PI-VCD-150-MTR-X578,MTR,MTR(LENGTH 6 MTR),Accessory ,,15.37
635,GLUE STAR (15 LITRE),PI-GLUE-STAR-X579,DRUM,DRUM(15 LITRE),Accessory ,,95.37
636,STUCK UP PIN (ANSAF),PI-STUCK-PIN-ANS-X580,BOX,BOX(400 PCS),Accessory ,,89.06
637,PAL PHENOLIC SHEET UL 181 20M (INNOVA),PI-PH-UL181-20M-INN-X581,SQM,SQM,Raw-Material,,26.72
638,PVC U FLANGE,PI-PVC-UFL-X582,MTR,Length (5 MTR),Accessory ,,1.24
639,SEALANT PAL,PI-SEAL-PAL-X583,BOX,BOX(24 NOS),Accessory ,,69.94
640,PI ALPHA UL181 20MM,PI-PH-ALPHA-UL181-20-X584,SQM,SQM,Raw-Material ,,26.35
641,ALUMINIUM U. FLANGE 20MM,PI-ALU-UFL-20-X585,MTR,Length (5 MTR),Accessory ,,1.77
642,ALU RIVET 4X25 BOX,PI-ALU-RIVET-4X25-X586,BOX,BOX(400 PCS),Accessory ,,18.08
643,ALUMINIUM CH. FLANGE 20MM (KS),PI-ALU-CHFL-20KS-X587,MTR,Length (5 MTR),Accessory ,,2.23
644,PVC BUSH WITH HOLE,PI-PVC-BUSH-X588,NOS,NOS,Accessory ,,0.16
645,ALUMINIUM U FLANGE 20MM (KS),PI-ALU-UFL-20KS-X589,MTR,Length (5 MTR),Accessory ,,1.81
646,SEALANT (DR FIX PIDILITE) GRAY,PI-SEAL-DRFIX-G-X590,BOX,BOX(24 NOS),Accessory ,,38.71
647,UL TAPE 60 YARD - SHUR,PI-ULT-60-SHUR-X591,NOS,NOS,Accessory ,,46.21
648,SEALANT (DR FIX PIDILITE) GRAY,PI-SEAL-DRFIX-G-X592,BOX,BOX(24 NOS),Accessory ,,38.42
649,PROFILE GLUE,PI-PROFILE-GLUE-X593,NOS,NOS,Accessory ,,18.69
650,ALUMINIUM JOINT. FLANGE 20MM (KS),PI-ALU-JFL-20KS-X594,MTR,Length (5 MTR),Accessory ,,2.47
651,Z LINK,PI-Z-LINK-X595,NOS,NOS,Accessory ,,1.64
652,"ALUMINIUM TAP 3"" (AL ANSAF)",PI-ALU-T3-ANS-BX-X596,BOX,BOX(18 NOS),Accessory ,,46.28
653,PI ALPHA UL181 20MM,PI-PH-ALPHA-UL181-20-X597,SQM,SQM,Raw-Material ,,26.22
654,"ALUMINIUM TAP 3"" (GERGAWI)",PI-ALU-T3-GER-BX-X598,BOX,BOX(18 NOS),Accessory ,,42.94
655,GI CORNER 20MM,PI-GI-CR-20-X599,NOS,BOX (200 NOS),Accessory ,,0.07
656,UL TAPE 60 YARD - SHUR,PI-ULT-60-SHUR-X600,NOS,NOS,Accessory ,,46.46
657,PVC CORNER 20MM PAL,PI-PVC-CR-20PAL-X601,NOS,BOX (200 NOS),Accessory ,,0.15
658,SIDE LINK,PI-SIDE-LINK-X602,NOS,NOS,Accessory ,,0.76
659,VCD BLADE 100 MM,PI-VCD-100-MTR-X603,MTR,MTR(LENGTH 6 MTR),Accessory ,,11.53
660,GLUE KINGSPAN (15 litre DRUM),PI-GLUE-KING-X604,DRUM,DRUM(15 LITRE),Accessory ,,148.53
661,GLUE KINGSPAN (15 litre DRUM),PI-GLUE-KING-X605,DRUM,DRUM(15 LITRE),Accessory ,,151.2
662,CUTTING KNIFE,PI-CUT-KNIFE-X606,NOS,NOS,Tool,,4.91
663,REINFORCEMENT BAR ALU,PI-REINF-BAR-ALU-X607,MTR,MTR(LENGTH 5 MTR),Accessory ,,5.96
664,VCD BLADE 200 MM,PI-VCD-200-MTR-X608,MTR,MTR(LENGTH 6 MTR),Accessory ,,29.2
665,PVC CORNER 20MM PAL,PI-PVC-CR-20PAL-X609,NOS,BOX (200 NOS),Accessory ,,0.15
666,ALUMINIUM JOINT. FLANGE 20MM,PI-ALU-JFL-20-X610,MTR,Length (5 MTR),Accessory ,,2.73
667,ALUMINIUM U. FLANGE 20MM,PI-ALU-UFL-20-X611,MTR,Length (5 MTR),Accessory ,,1.72
668,GLUE KINGSPAN (15 litre DRUM),PI-GLUE-KING-X612,DRUM,DRUM(15 LITRE),Accessory ,,147.91
669,BG PLATE WITH HOLE,PI-BG-PLATE-X613,NOS,NOS,Accessory ,,0.29
670,PVC U FLANGE,PI-PVC-UFL-X614,MTR,Length (5 MTR),Accessory ,,1.24
671,REINFORCEMENT BAR ALU,PI-REINF-BAR-ALU-X615,MTR,MTR(LENGTH 5 MTR),Accessory ,,5.98
672,MEASURING TAPE,PI-MEAS-TAPE-X616,NOS,NOS,Tool ,,3.99
673,SPECIALITE PHENOLIC SHEET UL 181 20M (KHAN),PI-PH-UL181-20M-SP-X617,SQM,SQM,Raw-Material,,23.79
674,PVC CORNER 30MM,PI-PVC-CR-30-X618,NOS,BOX (200 NOS),Accessory ,,0.93
675,PVC CORNER 20MM PAL,PI-PVC-CR-20PAL-X619,NOS,BOX (200 NOS),Accessory ,,0.15
676,PAL PHENOLIC SHEET UL 181 20M (INNOVA),PI-PH-UL181-20M-INN-X620,SQM,SQM,Raw-Material,,26.4
677,PVC BUSH WITH OUT HOLE,PI-PVC-BUSH-NH-X621,NOS,NOS,Accessory ,,0.16
678,ALUMINIUM JOINT. FLANGE 20MM (KS),PI-ALU-JFL-20KS-X622,MTR,Length (5 MTR),Accessory ,,2.53
679,CUTTING KNIFE,PI-CUT-KNIFE-X623,NOS,NOS,Tool,,5.1
680,SIDE LINK,PI-SIDE-LINK-X624,NOS,NOS,Accessory ,,0.75
681,VCD BLADE 100 MM,PI-VCD-100-MTR-X625,MTR,MTR(LENGTH 6 MTR),Accessory ,,11.53
682,UL TAPE 60 YARD - MEIYUAN,PI-ULT-60-MEI-X626,NOS,NOS,Accessory ,,50.83
683,SEALANT (STAR ADHESIV) WHITE,PI-SEAL-STAR-W-X627,BOX,BOX(24 NOS),Accessory ,,40.41
684,"ALUMINIUM TAPE 2""-ASMACO",PI-ALU-T2-ASM-BX-X628,BOX,BOX(24 NOS),Accessory ,,60
685,PVC FLANGE 20MM,PI-PVC-FL-20-X629,MTR,Length (5 MTR),Accessory ,,0.94
686,SPECIALITE PHENOLIC SHEET UL 181 20M (KHAN),PI-PH-UL181-20M-SP-X630,SQM,SQM,Raw-Material,,24.28
687,"ALUMINIUM TAPE 2""-ASMACO",PI-ALU-T2-ASM-BX-X631,BOX,BOX(24 NOS),Accessory ,,60.56
688,PVC U FLANGE,PI-PVC-UFL-X632,MTR,Length (5 MTR),Accessory ,,1.27
689,"ALUMINIUM TAPE 2""-ASMACO",PI-ALU-T2-ASM-BX-X633,BOX,BOX(24 NOS),Accessory ,,58.94
690,GLUE STAR (15 LITRE),PI-GLUE-STAR-X634,DRUM,DRUM(15 LITRE),Accessory ,,95.24
691,CUTTING KNIFE,PI-CUT-KNIFE-X635,NOS,NOS,Tool,,4.97
692,CROSS FIX DEVICE FOR REIN BAR,PI-CROSS-FIX-X636,NOS,NOS,Accessory ,,1.21
693,ALUMINIUM F. FLANGE 20MM,PI-ALU-FFL-20-X637,MTR,Length (5 MTR),Accessory ,,2.3
694,ALUMINIUM U FLANGE 20MM (KS),PI-ALU-UFL-20KS-X638,MTR,Length (5 MTR),Accessory ,,1.81
695,STUCK UP PIN LOCK,PI-STUCK-PIN-LOCK-X639,NOS,NOS,Accessory ,,0.04
696,SIDE LINK,PI-SIDE-LINK-X640,NOS,NOS,Accessory ,,0.76
697,PVC BUSH WITH HOLE,PI-PVC-BUSH-X641,NOS,NOS,Accessory ,,0.16
698,PVC CORNER 20MM,PI-PVC-CR-20-X642,NOS,BOX (200 NOS),Accessory ,,0.09
699,SPECIALITE PHENOLIC SHEET UL 181 20M (KHAN),PI-PH-UL181-20M-SP-X643,SQM,SQM,Raw-Material,,23.74
700,ALU RIVET 4X25 BOX,PI-ALU-RIVET-4X25-X644,BOX,BOX(400 PCS),Accessory ,,17.86
701,VCD BLADE 150 MM,PI-VCD-150-MTR-X645,MTR,MTR(LENGTH 6 MTR),Accessory ,,15.58
702,"ALUMINIUM TAPE 2""",PI-ALU-TAPE-2-BX-X646,BOX,BOX(24 NOS),Accessory ,,43.08
703,GI CORNER 20MM-PAL,PI-GI-CR-20PAL-X647,NOS,BOX (200 NOS),Accessory ,,0.12
704,VCD BLADE 150 MM,PI-VCD-150-MTR-X648,MTR,MTR(LENGTH 6 MTR),Accessory ,,15.87
705,PVC U FLANGE,PI-PVC-UFL-X649,MTR,Length (5 MTR),Accessory ,,1.27
706,VCD BLADE 200 MM,PI-VCD-200-MTR-X650,MTR,MTR(LENGTH 6 MTR),Accessory ,,29.13
707,PVC H BAYONET,PI-PVC-HBAY-X651,MTR,Length (5 MTR),Accessory ,,0.55
708,UL TAPE 60 YARD - SHUR,PI-ULT-60-SHUR-X652,NOS,NOS,Accessory ,,47.19
709,VCD BLADE 100 MM,PI-VCD-100-MTR-X653,MTR,MTR(LENGTH 6 MTR),Accessory ,,11.33
710,Z LINK,PI-Z-LINK-X654,NOS,NOS,Accessory ,,1.62
711,VCD BLADE 100 MM,PI-VCD-100-MTR-X655,MTR,MTR(LENGTH 6 MTR),Accessory ,,11.15
712,SPINDEL 12X125,PI-SPINDEL-12X125-X656,NOS,NOS,Accessory ,,1.2
713,VCD BLADE 150 MM,PI-VCD-150-MTR-X657,MTR,MTR(LENGTH 6 MTR),Accessory ,,15.39
714,SEALANT (STAR ADHESIV) GRAY,PI-SEAL-STAR-G-X658,BOX,BOX(24 NOS),Accessory ,,40.39
715,Z LINK,PI-Z-LINK-X659,NOS,NOS,Accessory ,,1.66
